country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Burkina Faso,6120,6120,6070,5970,5870,6050,5830,5710,5490,4140,1620,1210,221,180,283,157,240,536,208,276,147,151,120,231,338,127,131
Burundi,4870,4790,4720,4650,4560,4360,4140,3880,3450,2990,2440,1900,321,38.4,24.9,34.2,72.7,126,225,227,107,82.6,105,42.1,53.5,101,160
Cambodia,2510,2510,2510,2480,2440,2340,2260,2150,2010,1810,1570,1250,351,97,32,29.5,58.2,167,164,213,232,253,69,67.7,11.8,8.46,11.3
Cameroon,5110,5210,5320,5450,5560,5760,5590,5830,5840,5600,5150,4540,821,125,102,162,467,1330,1610,1720,869,941,1400,885,1030,1470,312
Canada,0.126,0.132,0.119,0.135,0.112,0.102,0.0921,0.0866,0.0816,0.0895,0.109,0.101,0.103,0.0942,0.0924,0.101,0.113,0.0979,0.102,0.101,0.0954,0.0987,0.0982,0.0987,0.0989,0.1,0.101
Cape Verde,44.6,43.4,45.4,49.9,57.1,67.4,74.5,75.2,72,69.7,65.9,61.3,58,54.5,50.9,48,27.3,23.5,22.6,22.8,5.37,5.28,5.15,5.25,1.21,0.997,0.998
Central African Republic,3250,3190,3190,3270,3400,3480,3660,3760,3800,3400,3230,3140,3030,2970,2890,2700,742,332,344,232,410,1070,1010,1420,1180,1220,1600
Chad,4380,4400,4490,4620,4820,5070,5590,6150,6610,7070,7330,7580,7470,7650,7280,7340,4970,2910,2740,2180,1900,2620,3210,2710,3290,1990,1990
Chile,0.555,0.32,0.282,0.129,0.0877,0.0704,0.0667,0.0957,0.121,0.103,0.088,0.0722,0.0611,0.0515,0.0491,0.0477,0.0484,0.0492,0.0523,0.0539,0.0543,0.0497,0.058,0.0644,0.0643,0.0581,0.0552
China,12600,10700,8990,7430,6070,5460,4340,3610,3120,2760,2300,1910,1470,1140,891,640,409,289,179,84.6,25.3,6.59,5.55,7.72,14.3,28.1,38.8
Colombia,62.4,44.9,33.2,23.3,11.9,7.84,5.24,3.58,2.58,1.68,1.41,1.22,1.1,1.04,1.03,0.998,0.936,0.867,0.802,0.752,0.719,0.714,0.687,0.634,0.566,0.512,0.474
Comoros,278,272,266,259,252,231,224,204,184,163,145,135,121,115,105,101,48.3,11.8,1.98,2.14,4.14,7.23,20.6,40.9,20.3,21.1,28.5
"Congo, Dem. Rep.",18200,18400,18700,19100,19600,19300,20000,17000,15400,15000,11800,9330,9670,6170,6060,3660,2140,1270,1260,1620,3000,5150,4510,3620,2080,853,906
"Congo, Rep.",1210,1270,1360,1460,1580,1620,1720,1770,1720,1660,1570,1370,1200,1050,922,182,133,153,92.9,152,306,159,143,197,95.2,102,141
Costa Rica,0.112,0.269,0.26,0.153,0.0862,0.0428,0.03,0.027,0.0243,0.025,0.021,0.0152,0.0106,0.00988,0.00831,0.00855,0.00686,0.00714,0.00612,0.00581,0.00556,0.00532,0.00633,0.00716,0.00685,0.0062,0.00586
Cote d'Ivoire,5460,5480,5620,5790,5990,5900,5820,5740,5460,5190,4820,4420,4070,3770,2800,2640,534,415,519,321,521,1180,400,484,792,198,262
Croatia,0.0659,0.0576,0.0682,0.0469,0.0408,0.0329,0.0221,0.0181,0.0213,0.0217,0.0217,0.0198,0.0162,0.0126,0.0124,0.00578,0.00456,0.00338,0.00298,0.00269,0.00252,0.00244,0.00233,0.00252,0.00238,0.00222,0.00211
Cuba,0.0262,0.0243,0.0231,0.0234,0.0245,0.0278,0.0344,0.0651,0.084,0.0713,0.0853,0.0781,0.0779,0.0702,0.0735,0.0687,0.0696,0.0598,0.0525,0.0633,0.0663,0.0722,0.0663,0.0643,0.0694,0.0614,0.0563
Cyprus,0.00393,0.00098,0.0185,0.00209,0.00185,0.00177,0.041,0.00072,0.00071,0.00043,0.00039,0.00042,0.00028,0.00015,0.00009,0.00045,0.00009,0.00008,0.00034,0.00006,0.00481,0.00011,0.00024,0.0187,0.00199,0.00008,0.00007
Czech Republic,0.0331,0.0265,0.0227,0.0221,0.0179,0.0131,0.0104,0.00925,0.00741,0.00677,0.00605,0.00588,0.00626,0.00669,0.00742,0.00675,0.00736,0.00914,0.00971,0.0106,0.00998,0.00897,0.00904,0.00791,0.00699,0.00797,0.00682
