country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Cameroon,312,449,624,836,1080,1350,1640,1930,2230,2510,2760,2980,3130,3230,3270,3330,3280,3230,3090,2910,2450,2120,1910,1510,1230,982,901
Canada,5.74,5.9,6.95,7.1,8.62,8.38,6.32,3.73,2.94,2.58,2.99,2.57,2.56,2.49,2.47,2.9,2.64,2.64,2.65,2.3,2.26,2.22,2.15,2.08,2.03,1.97,1.92
Cape Verde,3.98,4.94,5.95,6.98,8.02,8.99,9.83,10.5,11.1,11.6,11.9,12.1,12.4,12.6,12.8,12.9,12.1,9.86,8.55,8.37,8.12,7.84,8.06,6.79,5.69,4.46,3.13
Central African Republic,182,253,339,434,541,654,763,860,943,1010,1060,1090,1100,1100,1070,1010,918,834,760,674,617,557,497,504,442,329,235
Chad,121,173,237,315,405,505,613,724,838,953,1070,1170,1270,1310,1400,1480,1510,1530,1520,1490,1450,1410,1360,1230,1200,1120,860
Chile,8.33,7.83,8.52,8.31,8.68,7.71,8.5,10.7,10.2,10.7,9.9,9.31,9.59,7.62,5.69,5.96,7.17,5.9,6.7,6.75,7.27,6.49,6.01,6.23,5.87,5.3,5.05
China,31.5,37.3,44.8,54.4,68.1,86.6,105,124,142,162,182,205,229,254,279,303,327,350,376,395,410,418,420,420,420,416,408
Colombia,13.9,15.4,16,15.6,16.9,17.6,17.2,62.4,61.8,62.3,67.7,72.6,70.8,83,85.6,81.8,81,81.9,71.6,68.2,56.1,54.4,51.3,48.7,46.5,43.6,41
Comoros,0.0157,0.0236,0.0336,0.0465,0.0636,0.0855,0.116,0.157,0.212,0.285,0.378,0.49,0.618,0.757,0.894,1.02,1.13,1.16,1.05,1.07,0.974,0.967,0.887,0.784,0.676,0.664,0.736
"Congo, Dem. Rep.",1240,1480,1760,2050,2370,2690,2990,3280,3550,3790,4000,4170,4310,4380,4380,4320,4300,4250,4120,3980,3750,3490,3250,2890,2300,1700,1450
"Congo, Rep.",185,233,283,334,382,426,462,493,517,534,543,546,541,531,512,499,491,474,436,422,418,402,389,382,381,366,328
Costa Rica,2.1,3.45,3.15,3.14,2.93,3.47,3.41,3.51,4.08,4.04,4.06,3.97,3.67,3.84,3.49,3.61,3.34,3.3,3.08,2.71,2.76,2.49,3.34,2.74,2.68,2.29,2.11
Cote d'Ivoire,683,892,1120,1360,1600,1840,2060,2260,2440,2590,2720,2810,2850,2870,2880,2850,2840,2720,2430,2130,1680,1500,1360,1090,1010,981,684
Croatia,0.298,0.366,0.414,0.287,0.424,0.52,0.552,0.618,0.444,0.404,0.333,0.238,0.271,0.121,0.179,0.145,0.252,0.108,0.115,0.244,0.26,0.205,0.225,0.195,0.167,0.153,0.143
Cuba,3.57,3.75,3.85,4.89,4.23,4.35,4.24,2.85,2.91,3.05,2.99,3.51,2.59,2.13,2.87,2.58,2.55,3.6,3.68,3.69,4.28,4.92,5.13,6.79,6.74,5.9,5.49
Cyprus,0.0306,0.0355,0.0422,0.0347,0.0223,0.0173,0.0109,0.00606,0.00543,0.00567,0.00602,0.0064,0.00671,0.00719,0.00773,0.00819,0.00864,0.00558,0.0043,0.00436,0.00556,0.00642,0.00677,0.00697,0.0116,0.0167,0.0185
Czech Republic,0.617,0.386,0.585,0.75,0.656,0.443,0.45,0.359,0.323,0.434,0.187,0.286,0.214,0.211,0.202,0.33,0.273,0.464,0.418,0.75,0.616,0.652,0.648,0.555,0.895,0.711,0.665
Denmark,0.621,0.73,0.871,1.08,1.88,1.67,1.28,0.54,0.359,0.36,0.267,0.305,0.287,0.313,0.342,0.303,0.226,0.291,0.193,0.243,0.261,0.206,0.198,0.185,0.174,0.167,0.161
Djibouti,1.02,1.95,3.51,5.94,9.53,14.5,21.2,29.7,40,51.8,64.7,78,90.9,102,109,115,116,117,117,117,115,110,105,100,93.2,82.4,54.6
Dominica,0.146,0.162,0.24,0.301,0.355,0.322,0.365,0.263,0.259,0.372,0.546,0.433,0.408,0.367,0.354,0.267,0.296,0.257,0.225,0.225,0.248,0.242,0.239,0.204,0.278,0.212,0.2
Dominican Republic,29.4,44.1,62.3,83.4,107,130,152,171,188,201,211,219,223,224,213,182,155,136,109,92.6,79.9,58.5,40,34.6,30.3,30.8,27
Ecuador,14.4,16.2,17.5,22,21.5,18.5,12.4,53.8,49.5,55.9,56.4,62.7,69.8,65.1,61.4,59,63.1,57.6,64.6,59.1,57.9,47.6,47.5,36.2,25.3,35.1,35.5
Egypt,1.58,1.83,2.06,2.3,2.54,2.77,3,3.22,3.44,3.66,3.8,3.92,4.13,4.38,4.58,4.78,5.07,5.56,6.15,6.66,7.07,7.75,8.73,9.1,9.45,9.67,9.17
El Salvador,3.5,4.27,5.19,6.25,7.51,8.98,10.6,12.4,14.4,16.6,18.7,20.5,12.6,5.12,2,0.936,0.78,0.847,0.862,0.929,1.08,1.02,0.818,0.693,0.41,0.231,0.163
Equatorial Guinea,5.05,7.48,10.7,14.8,19.9,26,32.8,39.5,46.9,54.7,62.2,69.2,76,83.1,89.5,91.6,89.1,87.6,85.6,92.1,86,88.8,89.2,57.1,39.4,31.2,29.3
Eritrea,31.1,42.6,56,70.6,85.7,100,116,131,146,159,170,181,189,196,199,195,188,174,159,147,144,136,125,116,108,110,98.7
Estonia,0.0232,0.0218,0.0199,0.018,0.0192,0.0187,0.036,0.0303,0.0354,0.0221,0.0379,0.0372,0.0347,0.0629,0.186,0.254,0.344,0.311,0.303,0.278,0.217,0.227,0.207,0.209,0.188,0.168,0.158
Ethiopia,838,1220,1710,2300,2980,3740,4530,5310,6030,6670,7160,7490,7640,7630,7440,7070,6350,5500,4540,3780,3140,2490,2140,1400,797,535,409
Fiji,0.218,0.266,0.308,0.347,0.388,0.431,0.472,0.509,0.54,0.569,0.596,0.624,0.655,0.689,0.719,0.744,0.765,0.597,0.564,0.574,0.324,0.199,0.129,0.0593,0.0422,0.0591,0.0633
Finland,0.361,0.442,0.439,0.478,0.394,0.355,0.544,0.188,0.154,0.226,0.176,0.0976,0.15,0.203,0.18,0.173,0.236,0.239,0.15,0.104,0.185,0.154,0.164,0.108,0.118,0.114,0.111
France,19.5,22.4,22.5,22.2,19.5,18.2,14.2,6.65,5.68,5.98,7.64,6.67,6.89,6.51,6.07,5.5,5.53,4.91,4.79,4.13,3.77,3.09,3.19,3.62,3.3,3.23,3.1
Gabon,14.9,20.9,28.6,37.9,49,61.5,75.3,90,105,121,136,152,165,175,182,186,187,176,154,142,133,116,93.8,61.8,39.3,24.8,18.2
Gambia,2.34,3.38,4.8,6.73,9.26,12.5,16.6,21.4,27.1,33.6,40.8,48.3,55.8,63,69.8,73.8,76.8,79.3,70.8,60.7,44.8,33.8,22.5,22.8,24.4,19.3,24.9
Georgia,0.0993,0.0984,0.0942,0.109,0.0839,0.0791,0.0755,0.0743,0.796,0.82,1.58,1.92,1.11,1.17,1.73,1.35,1.54,1.47,2.11,2.34,3.21,4.42,8.38,5.86,6.88,5.27,4.71
Germany,11.5,14.7,12.4,13.3,11.3,9.68,9.92,6.08,4.91,4.97,4.59,4.34,4.04,3.85,3.49,3.35,3.36,3.33,3.32,3.13,3,3.06,2.87,2.88,2.99,2.7,2.56
Ghana,425,550,693,851,1020,1190,1350,1500,1640,1770,1890,2000,2090,2160,2210,2220,2200,2020,1820,1770,1650,1310,1010,943,849,763,567
Greece,1.02,1.04,1.4,1.51,1.83,1.46,1.4,0.943,0.942,0.624,0.531,0.315,0.469,0.278,0.249,0.258,0.202,0.243,0.157,0.208,0.229,0.224,0.378,0.36,0.233,0.209,0.191
Grenada,0.157,0.175,0.201,0.248,0.282,0.252,0.291,0.291,0.296,0.303,0.314,0.355,0.331,0.284,0.26,0.197,0.202,0.171,0.147,0.141,0.16,0.156,0.153,0.146,0.172,0.144,0.13
Guatemala,24.3,34.8,37.1,43.8,47.9,46.6,49.1,53.4,61.1,57,24.8,25.5,28.9,30.7,33.2,118,120,118,103,83.3,70.7,64.1,53.6,47.9,51.2,51.1,50
Guinea,25.3,35.9,50,68.3,91.6,120,153,191,232,276,320,366,413,460,504,545,574,562,555,587,607,579,542,297,154,143,138
Guinea-Bissau,7.38,10.5,14.7,20,26.9,35.4,45.7,57.9,72.4,89,107,127,149,171,193,214,226,236,251,258,257,246,224,184,122,75.8,57
Guyana,4.51,4.87,6.45,7.9,6.84,6.61,8.33,6.22,6.2,9.37,12.2,17.8,18.7,15.5,14.4,9.93,9.88,8.59,6.85,5.66,5.8,6.01,5.59,5.32,5.1,4.86,4.72
Haiti,235,334,452,590,745,911,1080,1250,1400,1530,1630,1720,1760,1760,1720,1630,1470,1350,1260,1140,970,754,539,329,216,164,134
